filename,niqe_foggy,niqe_dehazed,niqe_improvement,brisque_foggy,brisque_dehazed,brisque_improvement,entropy_foggy,entropy_dehazed,entropy_improvement,gradient_foggy,gradient_dehazed,gradient_improvement,saturation_foggy,saturation_dehazed,saturation_improvement
foggy_0000_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.9142,6.5821,-0.3321,33.2923,68.6031,35.3108,131.8270,105.9612,-25.8658
foggy_0001_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.1471,7.2799,0.1328,31.9389,64.7250,32.7860,122.2334,116.2132,-6.0202
foggy_0002_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.3682,7.1802,-0.1880,18.6087,109.1914,90.5827,242.2072,158.0484,-84.1589
foggy_0003_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.0846,6.3932,0.3086,8.7102,42.2636,33.5534,146.1854,164.0983,17.9129
foggy_0004_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.9351,6.6079,-0.3272,12.3038,78.4876,66.1838,146.9578,94.9249,-52.0329
foggy_0005_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.5684,6.1020,-0.4664,20.4410,44.1587,23.7177,213.0033,140.1515,-72.8518
foggy_0006_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.0588,7.2662,0.2074,24.8706,85.3491,60.4785,8.4123,65.4691,57.0568
foggy_0007_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.5417,7.0265,-0.5152,17.4576,71.7934,54.3358,193.4612,127.6950,-65.7663
foggy_0008_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.5109,7.5788,0.0679,26.6735,90.4771,63.8036,65.5903,90.8617,25.2715
foggy_0009_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.3388,7.0812,-0.2576,50.9280,97.1187,46.1907,0.0000,63.1939,63.1939
foggy_0010_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.1172,6.2098,0.0926,26.3091,24.7944,-1.5146,60.0463,67.5279,7.4816
foggy_0011_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.4227,7.6753,0.2525,27.4796,80.3181,52.8385,91.3525,112.4362,21.0837
foggy_0012_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.4118,7.3867,-0.0251,17.5625,89.3053,71.7428,127.5566,90.2915,-37.2651
foggy_0013_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.3288,7.2614,0.9327,34.8088,153.8442,119.0355,50.8806,106.9132,56.0325
foggy_0014_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.4026,6.9825,-0.4201,47.3128,98.8445,51.5317,156.2777,145.7220,-10.5557
foggy_0015_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.4663,6.5619,0.0956,16.4777,53.3158,36.8381,59.6798,64.4207,4.7409
foggy_0016_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,5.7467,5.9805,0.2338,23.3586,24.1207,0.7621,71.7110,62.5460,-9.1650
foggy_0017_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.6462,6.0240,-0.6222,14.0919,62.9901,48.8981,205.1235,119.5620,-85.5614
foggy_0018_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.2688,7.1942,-0.0746,23.0143,55.9339,32.9196,202.1338,119.1225,-83.0112
foggy_0019_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.5322,7.8063,0.2742,25.6582,119.9396,94.2814,25.7499,86.5301,60.7802
foggy_0020_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.2825,7.6254,0.3429,31.1713,86.2609,55.0896,115.3147,126.4300,11.1152
foggy_0021_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.2408,7.4276,0.1868,35.9313,78.0842,42.1528,232.3383,179.2882,-53.0501
foggy_0022_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.6623,6.5165,-0.1458,27.3287,54.5162,27.1875,194.9613,148.7951,-46.1662
foggy_0023_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.4605,6.3708,-0.0898,30.6648,61.4490,30.7841,31.4886,62.4455,30.9569
foggy_0024_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.8804,7.0892,0.2088,34.4174,30.5848,-3.8326,0.0000,39.2934,39.2934
foggy_0025_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.7408,6.8522,0.1113,32.8713,32.9029,0.0316,63.0082,50.7865,-12.2217
foggy_0026_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.1879,6.9388,-0.2491,17.5708,56.6252,39.0545,82.1969,132.5171,50.3202
foggy_0027_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.7955,6.7297,-0.0658,17.1828,77.5137,60.3309,230.8262,179.9143,-50.9119
foggy_0028_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.1224,7.4168,0.2944,32.7401,83.0405,50.3003,60.9825,75.8338,14.8513
foggy_0029_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.4124,7.4302,0.0178,46.2839,82.7902,36.5063,105.3103,101.7928,-3.5175
foggy_0030_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,5.6736,4.6433,-1.0303,13.4812,21.2985,7.8173,168.0312,95.5955,-72.4357
foggy_0031_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,5.5592,5.1725,-0.3867,19.9977,36.9116,16.9139,234.2497,118.1292,-116.1206
foggy_0032_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.7721,6.7534,-0.0188,16.0000,59.6564,43.6564,86.1494,131.8206,45.6712
foggy_0033_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.3667,6.7012,0.3346,19.4967,81.0638,61.5671,93.5384,114.1955,20.6570
foggy_0034_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.3329,7.4246,0.0917,32.0207,105.0389,73.0182,72.5757,88.5567,15.9810
foggy_0035_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.4902,7.6344,0.1442,33.5500,96.9161,63.3661,65.5254,80.8769,15.3515
foggy_0036_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.0778,7.5098,0.4320,18.4605,61.7596,43.2991,164.0607,136.9968,-27.0639
foggy_0037_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,5.6750,4.8461,-0.8289,11.5415,19.2590,7.7174,236.5831,176.0569,-60.5261
foggy_0038_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,5.8968,5.3254,-0.5714,22.6364,47.2178,24.5815,101.6987,129.5897,27.8910
foggy_0039_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,5.8995,4.2348,-1.6647,17.3277,23.1427,5.8150,250.1708,179.9071,-70.2638
foggy_0040_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.4176,6.8040,0.3864,45.8912,60.0499,14.1587,63.2984,92.8029,29.5044
foggy_0041_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.3933,6.0506,-0.3427,18.9478,55.9431,36.9954,116.8631,98.6765,-18.1866
foggy_0042_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.4315,7.3984,-0.0332,15.4723,63.6842,48.2119,86.0266,165.8758,79.8492
foggy_0043_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.8966,6.1687,-0.7279,19.8689,39.7327,19.8638,215.3431,178.0139,-37.3292
foggy_0044_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.1196,6.9844,-0.1352,38.0036,90.3466,52.3430,226.5286,172.3262,-54.2024
foggy_0045_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.8888,6.8943,0.0055,41.9163,53.6233,11.7070,94.2550,153.4444,59.1894
foggy_0046_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.8137,6.7487,-0.0650,26.3408,48.6548,22.3140,71.8310,147.8590,76.0280
foggy_0047_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.4730,7.2713,-0.2017,22.0161,112.0422,90.0262,65.4735,113.0927,47.6192
foggy_0048_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.5631,6.3551,-0.2079,20.4305,41.5731,21.1425,25.6505,59.4176,33.7672
